,1,2,3,4,5,6,7,8,9,10,11,12,13
10,1081000157,2019/10/17 18:48:03,傳送派工單給包商,PC,公園管理科二股,李?民,新設地墊,永康區,地墊,新設地墊,永康區兒3廣10公園,永康區兒3廣10公園,經度:120.234699460185 緯度:23.0184579631664X_97坐標:171556.345945928 Y_97坐標:2546531.89426991
11,1081000156,2019/10/17 09:56:47,包商回覆預定數量(for承辦),PC,公園管理科二股,李玟璇,周圍環境清潔,永康區,環境,周圍環境清潔,,永康區鹽水溪南岸堤岸道路,經度:120.230800544274 緯度:23.0454511363841X_97坐標:171172.390501519 Y_97坐標:2549523.22066343
12,1081000155,2019/10/16 12:05:18,包商回覆預定數量(for承辦),PC,第二工務大隊,賴命東,路面破(龜)裂,麻豆區,鋪面,路面破(龜)裂,,麻豆區北勢里保濟宮加輦邦10-9號旁號道路路面改善工程,經度:120.252581911128 緯度:23.1971658207767X_97坐標:173490.703174749 Y_97坐標:2566312.72027845
13,1081000154,2019/10/16 12:05:08,包商回覆預定數量(for承辦),PC,第二工務大隊,賴命東,路面破(龜)裂,麻豆區,鋪面,路面破(龜)裂,,麻豆區南勢里南61線路面改善工程,經度:120.271374333571 緯度:23.1893088069489X_97坐標:175410.100026648 Y_97坐標:2565432.85872375
14,1081000153,2019/10/16 12:04:59,包商回覆預定數量(for承辦),PC,第二工務大隊,賴命東,路面破(龜)裂,麻豆區,鋪面,路面破(龜)裂,,麻豆區謝厝寮里謝厝寮148號、170號、160號、199號前四處道路路面改善工程,經度:120.235871968624 緯度:23.150402760716X_97坐標:171752.943946406 Y_97坐標:2561142.96371798
15,1081000152,2019/10/16 12:04:49,包商回覆預定數量(for承辦),PC,第二工務大隊,賴命東,路面破(龜)裂,麻豆區,鋪面,路面破(龜)裂,,麻豆區油車里市區巷道路面改善工程,經度:120.244315559791 緯度:23.1890222238177X_97坐標:172639.801472945 Y_97坐標:2565415.25181685
16,1081000151,2019/10/16 12:04:40,包商回覆預定數量(for承辦),PC,第二工務大隊,賴命東,路面破(龜)裂,麻豆區,鋪面,路面破(龜)裂,,麻豆區東角里忠孝路（忠孝路39號之6前至文昌路口以及忠孝路52號前）路面改善工程,經度:120.252428595492 緯度:23.1852094952575X_97坐標:173468.204790111 Y_97坐標:2564988.73158853
17,1081000150,2019/10/16 12:04:30,包商回覆預定數量(for承辦),PC,第二工務大隊,賴命東,路面破(龜)裂,下營區,鋪面,路面破(龜)裂,,下營區開化里南54道路道路改善工程,經度:120.278748108269 緯度:23.2142839671492X_97坐標:176178.703342263 Y_97坐標:2568194.89313234
18,1081000149,2019/10/16 12:04:19,包商回覆預定數量(for承辦),PC,第二工務大隊,賴命東,路面破(龜)裂,官田區,鋪面,路面破(龜)裂,,官田區二鎮里工社南街道路改善工程,經度:120.327420187361 緯度:23.2164098941376X_97坐標:181161.622161147 Y_97坐標:2568406.43439079
19,1081000148,2019/10/16 12:04:08,包商回覆預定數量(for承辦),PC,第二工務大隊,賴命東,路面破(龜)裂,六甲區,鋪面,路面破(龜)裂,,六甲區水林里中山路280巷及民族街275巷路面改善工程,經度:120.344381409498 緯度:23.232869501923X_97坐標:182905.877105672 Y_97坐標:2570221.2572239
20,1081000147,2019/10/16 12:03:57,包商回覆預定數量(for承辦),PC,第二工務大隊,賴命東,路面破(龜)裂,鹽水區,鋪面,路面破(龜)裂,,鹽水區南3線部分道路改善工程,經度:120.246038220851 緯度:23.3071176440677X_97坐標:172884.092393088 Y_97坐標:2578492.58540979
21,1081000146,2019/10/16 12:03:41,包商回覆預定數量(for承辦),PC,第二工務大隊,賴命東,路面破(龜)裂,學甲區,鋪面,路面破(龜)裂,,學甲區三慶里新芳活動中心旁道路(南14)改善工程,經度:120.193454797921 緯度:23.2764562590597X_97坐標:167486.673502066 Y_97坐標:2575125.98358449
22,1081000145,2019/10/16 12:03:01,包商回覆預定數量(for承辦),PC,第二工務大隊,賴命東,路面破(龜)裂,學甲區,鋪面,路面破(龜)裂,,學甲區秀昌里新生路道路改善工程,經度:120.181313583062 緯度:23.2365494177515X_97坐標:166219.577211793 Y_97坐標:2570713.48792419
23,1081000144,2019/10/16 12:02:27,包商回覆預定數量(for承辦),PC,第二工務大隊,賴命東,路面破(龜)裂,後壁區,鋪面,路面破(龜)裂,,後壁區長安里南81-1道路改善工程,經度:120.357643057238 緯度:23.3323391446171X_97坐標:184311.89180417 Y_97坐標:2581230.63223883
24,1081000142,2019/10/15 21:19:03,包商回覆預定數量(for承辦),PC,第二工務大隊,王彝秋,排水設施正常,官田區,排水設施,排水設施正常,支援171線26k+900,支援171線26k+900,經度:120.332355972582 緯度:23.17086662293X_97坐標:181643.667423943 Y_97坐標:2563360.60354911
25,1081000141,2019/10/15 21:18:53,包商回覆預定數量(for承辦),PC,第二工務大隊,王彝秋,排水設施正常,六甲區,排水設施,排水設施正常,支援南318線6k+700,支援南318線6k+700,經度:120.345152232517 緯度:23.2237364928049X_97坐標:182980.20405091 Y_97坐標:2569209.50136464
26,1081000140,2019/10/15 21:18:46,包商回覆預定數量(for承辦),PC,第二工務大隊,王彝秋,路面坑洞,官田區,鋪面,路面坑洞,支援171線37k+980,支援171線37k+980,經度:120.353883772623 緯度:23.2126506965485X_97坐標:183868.393796131 Y_97坐標:2567977.84968673
27,1081000139,2019/10/15 21:18:39,包商回覆預定數量(for承辦),PC,第二工務大隊,王彝秋,路面坑洞,學甲區,鋪面,路面坑洞,支援174線1K+050,支援174線1K+050,經度:120.104592962548 緯度:23.2365888937743X_97坐標:158367.964214366 Y_97坐標:2570764.19949528
28,1081000138,2019/10/15 21:18:33,包商回覆預定數量(for承辦),PC,第二工務大隊,王彝秋,路面坑洞,六甲區,鋪面,路面坑洞,支援174線41K+300,支援174線41K+300,經度:120.441516698153 緯度:23.2360987503638X_97坐標:192848.034326572 Y_97坐標:2570537.31550098
29,1081000137,2019/10/15 21:18:25,包商回覆預定數量(for承辦),PC,第二工務大隊,王彝秋,路面坑洞,白河區,鋪面,路面坑洞,172乙線6K+500,172乙線6K+500,經度:120.489448246813 緯度:23.3249464941757X_97坐標:197787.819016505 Y_97坐標:2580358.25333573
30,1081000136,2019/10/15 17:50:28,傳送派工單給包商,PC,第一工務大隊,吳建中,蓋版損壞,安南區,排水設施,蓋版損壞,,安和路與安通路口等處搶修,經度:120.213678540559 緯度:23.0298594473035X_97坐標:169408.37714588 Y_97坐標:2547805.91045889
31,1081000135,2019/10/15 14:22:47,指定主管簽核,PC,公園管理科二股,戴佳男,路燈維修,新營區,照明異常,路燈維修,108/10/14,角帶里,經度:120.267785514182 緯度:23.2874429211036X_97坐標:175097.496852245 Y_97坐標:2576302.32520977
32,1081000134,2019/10/15 14:22:37,指定主管簽核,PC,公園管理科二股,戴佳男,路燈維修,官田區,照明異常,路燈維修,108/10/14,大崎里,經度:120.369419908738 緯度:23.1941272609649X_97坐標:185449.705663651 Y_97坐標:2565919.57287876
33,1081000133,2019/10/15 14:22:26,指定主管簽核,PC,公園管理科二股,戴佳男,路燈維修,柳營區,照明異常,路燈維修,108/10/14,東昇里,經度:120.320519316394 緯度:23.2808479915847X_97坐標:180488.702703815 Y_97坐標:2575545.71211758
34,1081000132,2019/10/15 14:22:16,指定主管簽核,PC,公園管理科二股,戴佳男,路燈維修,新營區,照明異常,路燈維修,108/10/14,姑爺里,經度:120.254253863613 緯度:23.2805438090636X_97坐標:173709.280766794 Y_97坐標:2575545.35285822
35,1081000131,2019/10/15 14:22:07,指定主管簽核,PC,公園管理科二股,戴佳男,路燈維修,新營區,照明異常,路燈維修,108/10/14,民生里,經度:120.303604858669 緯度:23.3061202016023X_97坐標:178771.737503646 Y_97坐標:2578352.63749857
36,1081000130,2019/10/15 14:21:58,指定主管簽核,PC,公園管理科二股,戴佳男,路燈維修,官田區,照明異常,路燈維修,108/10/14,西庄里,經度:120.308683463885 緯度:23.183418107436X_97坐標:179226.492989466 Y_97坐標:2564761.87830869
37,1081000128,2019/10/15 14:21:41,指定主管簽核,PC,公園管理科二股,戴佳男,路燈維修,新營區,照明異常,路燈維修,108/10/14,姑爺里,經度:120.250828701837 緯度:23.2769104879383X_97坐標:173356.789585745 Y_97坐標:2575144.7933655
38,1081000127,2019/10/15 14:21:32,指定主管簽核,PC,公園管理科二股,戴佳男,路燈維修,白河區,照明異常,路燈維修,108/10/14,白河里,經度:120.413495672459 緯度:23.3459922456891X_97坐標:190029.715272054 Y_97坐標:2582718.33962403
39,1081000126,2019/10/15 14:21:23,指定主管簽核,PC,公園管理科二股,戴佳男,路燈維修,東山區,照明異常,路燈維修,108/10/14,三榮里,經度:120.386619799591 緯度:23.3229762858313X_97坐標:187270.768312224 Y_97坐標:2580180.90946044
40,1081000125,2019/10/15 14:21:15,指定主管簽核,PC,公園管理科二股,戴佳男,路燈維修,東山區,照明異常,路燈維修,108/10/14,東中里,經度:120.400074184961 緯度:23.3217988494527X_97坐標:188646.217195939 Y_97坐標:2580044.7498682
41,1081000124,2019/10/15 14:21:07,指定主管簽核,PC,公園管理科二股,戴佳男,路燈維修,新營區,照明異常,路燈維修,108/10/14,太北里,經度:120.265960718246 緯度:23.2898503305053X_97坐標:174912.171257313 Y_97坐標:2576569.87399577
42,1081000123,2019/10/15 14:20:46,指定主管簽核,PC,公園管理科二股,戴佳男,路燈維修,白河區,照明異常,路燈維修,108/10/14,172線,經度:120.425829049564 緯度:23.3453657556729X_97坐標:191290.561394726 Y_97坐標:2582643.89894004
43,1081000122,2019/10/15 13:46:12,已派工,PC,第二工務大隊,陳佩吟,不良木移除,學甲區,行道樹,不良木移除,,108年度市道171、171甲、171乙及174線等景觀綠美化維護工程開口契約,經度:120.187761928527 緯度:23.2267033253118X_97坐標:166873.402698762 Y_97坐標:2569619.38741514
44,1081000121,2019/10/15 13:46:03,已派工,PC,第二工務大隊,陳佩吟,路樹修剪及運棄(疏剪),學甲區,行道樹,路樹修剪及運棄(疏剪),,學甲區 9K-16K,經度:120.187850973405 緯度:23.2267263209446X_97坐標:166882.530444956 Y_97坐標:2569621.88308819
45,1081000120,2019/10/15 11:30:14,已派工,PC,養護工程科一股,鄭世衡,路面破(龜)裂,安南區,鋪面,路面破(龜)裂,,安南區 手孔調平.聲響.引出管共7件,經度:120.192301502751 緯度:23.0203827618158X_97坐標:167211.516478706 Y_97坐標:2546768.37750317
46,1081000119,2019/10/15 09:04:01,傳送派工單給包商,PC,公園管理科二股,林港竣,路樹修剪及運棄(疏剪),新營區,行道樹,路樹修剪及運棄(疏剪),108.10.08,文化中心後面往景觀湖附近,經度:120.314455869729 緯度:23.3088166054746X_97坐標:179883.044375178 Y_97坐標:2578645.94869733
47,1081000118,2019/10/14 14:48:43,指定主管簽核,PC,公園管理科二股,戴佳男,路燈維修,東山區,照明異常,路燈維修,108/10/14,東正里,經度:120.408681794454 緯度:23.3218956155272X_97坐標:189526.573774794 Y_97坐標:2580051.84278404
48,1081000117,2019/10/14 14:48:30,指定主管簽核,PC,公園管理科二股,戴佳男,路燈維修,後壁區,照明異常,路燈維修,108/10/14,上茄苳里,經度:120.378918240848 緯度:23.3833419589665X_97坐標:186511.849621789 Y_97坐標:2586869.3079924
49,1081000116,2019/10/14 14:48:21,指定主管簽核,PC,公園管理科二股,戴佳男,路燈維修,後壁區,照明異常,路燈維修,108/10/14,上茄苳里,經度:120.365118678902 緯度:23.3521814714934X_97坐標:185086.02639768 Y_97坐標:2583424.64497082
50,1081000115,2019/10/14 14:48:10,指定主管簽核,PC,公園管理科二股,戴佳男,路燈維修,東山區,照明異常,路燈維修,108/10/14,南勢里,經度:120.409120794646 緯度:23.2786509933779X_97坐標:189551.934973111 Y_97坐標:2575262.69691087
51,1081000114,2019/10/14 14:48:03,指定主管簽核,PC,公園管理科二股,戴佳男,路燈維修,後壁區,照明異常,路燈維修,108/10/14,172線,經度:120.3738528558 緯度:23.3375108247639X_97坐標:185972.048307826 Y_97坐標:2581796.08740062
52,1081000113,2019/10/14 13:51:52,傳送派工單給包商,PC,第一工務大隊,吳建中,蓋版損壞,安南區,排水設施,蓋版損壞,,本田路三段387-10前等處搶修,經度:120.166979306219 緯度:23.0462347078331X_97坐標:164632.172474219 Y_97坐標:2549645.79718451
53,1081000112,2019/10/14 11:51:11,已派工,PC,第二工務大隊,陳佩吟,機關駐點、綠帶、公共設施、垃圾清潔、澆水,柳營區,每月例行性,機關駐點、綠帶、公共設施、垃圾清潔、澆水,大區道南311線、南314線、南316線及南318線,大區道南311線、南314線、南316線及南318線,經度:120.302832446419 緯度:23.2740581425407X_97坐標:178675.648416815 Y_97坐標:2574802.37922899
54,1081000111,2019/10/14 10:08:46,已派工,PC,第二工務大隊,陳佩吟,路樹修剪及運棄(疏剪),楠西區,行道樹,路樹修剪及運棄(疏剪),,108年度市道171及174線等景觀綠美化維護工程開口契約,經度:120.473760509899 緯度:23.2345300563255X_97坐標:196147.116777228 Y_97坐標:2570351.2758846
55,1081000110,2019/10/14 09:55:27,已派工,PC,第二工務大隊,李姵芳,植栽等其他妨礙行車安全狀況半車道,東山區,路面狀況,植栽等其他妨礙行車安全狀況半車道,市道175線,市道175線(20K+000),經度:120.479225708125 緯度:23.2427744372939X_97坐標:196709.684484887 Y_97坐標:2571262.23812319
56,1081000108,2019/10/14 09:54:03,已派工,PC,第二工務大隊,李姵芳,路樹修剪及運棄(疏剪),白河區,行道樹,路樹修剪及運棄(疏剪),市道165線(青葉橋),市道165線(青葉橋),經度:120.40839559319 緯度:23.3402041927109X_97坐標:189505.595076708 Y_97坐標:2582079.48475768
57,1081000107,2019/10/14 09:49:11,已派工,PC,第二工務大隊,李姵芳,路樹修剪及運棄(裁剪),東山區,行道樹,路樹修剪及運棄(裁剪),市道175線,市道175線(12K+400),經度:120.499856458553 緯度:23.2793825800944X_97坐標:198834.822068496 Y_97坐標:2575308.78371628
58,1081000106,2019/10/14 09:48:38,已派工,PC,第二工務大隊,李姵芳,路樹修剪及運棄(疏剪),新營區,行道樹,路樹修剪及運棄(疏剪),市道172線,市道172線:(20K+000)長榮路,經度:120.306145111098 緯度:23.3184827488134X_97坐標:179038.128308441 Y_97坐標:2579720.45503962
59,1081000105,2019/10/14 09:48:23,已派工,PC,第二工務大隊,李姵芳,路樹修剪及運棄(疏剪),東山區,行道樹,路樹修剪及運棄(疏剪),市道175線,市道175(10K+400)與南104-2線路口,經度:120.506734823098 緯度:23.2867154266276X_97坐標:199541.260981373 Y_97坐標:2576118.41033553
60,1081000104,2019/10/14 09:48:10,已派工,PC,第二工務大隊,李姵芳,機關駐點、綠帶、公共設施、垃圾清潔、澆水,白河區,每月例行性,機關駐點、綠帶、公共設施、垃圾清潔、澆水,市道172線,"市道165線,172線,172甲線,172乙線,175線及南106線等契約規定範圍",經度:120.326858951501 緯度:23.3200448201224X_97坐標:181157.445047075 Y_97坐標:2579883.43869893
61,1081000103,2019/10/14 09:27:50,指定主管簽核,PC,第一工務大隊,黃富美,路面掏空,安平區,鋪面,路面掏空,,安平區,經度:120.168758477102 緯度:22.990108708535X_97坐標:164779.248146643 Y_97坐標:2543429.29231395
62,1081000102,2019/10/14 09:27:35,指定主管簽核,PC,第一工務大隊,黃富美,其他排水路受阻,安平區,排水設施,其他排水路受阻,,安平區,經度:120.182221230128 緯度:22.9875713894841X_97坐標:166157.979155025 Y_97坐標:2543140.54938532
63,1081000101,2019/10/14 09:27:22,指定主管簽核,PC,第一工務大隊,黃富美,地磚損壞,安平區,人行道設施,地磚損壞,,安平區,經度:120.168353291794 緯度:22.9848066628647X_97坐標:164734.377080688 Y_97坐標:2542842.37435357
64,1081000100,2019/10/14 08:00:58,傳送派工單給包商,PC,第二工務大隊,陳佩吟,路樹修剪及運棄(疏剪),麻豆區,行道樹,路樹修剪及運棄(疏剪),,108年度市道171、171甲、171乙及174線等景觀綠美化維護工程開口契約,經度:120.238602492335 緯度:23.1868105018687X_97坐標:172053.643506138 Y_97坐標:2565173.36969545
65,1081000099,2019/10/09 16:44:36,完工通報核准,PC,公園管理科二股,戴佳男,路燈增設,新營區,照明不足,路燈增設,108/10/09,太北里,經度:120.268907074492 緯度:23.2925119050784X_97坐標:175215.064352293 Y_97坐標:2576863.10168358
66,1081000098,2019/10/09 16:44:28,已派工,PC,公園管理科二股,戴佳男,路燈增設,七股區,照明不足,路燈增設,108/10/09,十份里,經度:120.05212236917 緯度:23.1128382709142X_97坐標:152908.791626402 Y_97坐標:2557093.40541731
67,1081000097,2019/10/09 16:44:18,已派工,PC,公園管理科二股,戴佳男,路燈維修,七股區,照明異常,路燈維修,108/10/09,三股里,經度:120.1071233815 緯度:23.1020616632262X_97坐標:158535.576946948 Y_97坐標:2555864.43304017
68,1081000096,2019/10/09 16:44:05,已派工,PC,公園管理科二股,戴佳男,路燈增設,七股區,照明不足,路燈增設,108/10/09,三股里,經度:120.167713475589 緯度:23.1050452838888X_97坐標:164744.496754936 Y_97坐標:2556158.17833227
69,1081000095,2019/10/09 16:43:56,已派工,PC,公園管理科二股,戴佳男,路燈增設,七股區,照明不足,路燈增設,108/10/09,竹橋里,經度:120.167687883898 緯度:23.1050069220548X_97坐標:164741.850916311 Y_97坐標:2556153.94499047
70,1081000094,2019/10/09 16:43:47,已派工,PC,公園管理科二股,戴佳男,路燈增設,六甲區,照明不足,路燈增設,108/10/09,大丘里,經度:120.43464149994 緯度:23.2388321471348X_97坐標:192145.628959089 Y_97坐標:2570842.73427882
71,1081000093,2019/10/09 16:43:39,已派工,PC,公園管理科二股,戴佳男,路燈增設,東山區,照明不足,路燈增設,108/10/07,東原里,經度:120.453004060712 緯度:23.2958074627603X_97坐標:194048.545010596 Y_97坐標:2577144.99372501
72,1081000092,2019/10/09 16:43:28,已派工,PC,公園管理科二股,戴佳男,路燈維修,六甲區,照明異常,路燈維修,108/10/07,大丘里,經度:120.409075209935 緯度:23.2340551599213X_97坐標:189527.159530777 Y_97坐標:2570324.14593642
73,1081000091,2019/10/09 16:43:15,完工通報核准,PC,公園管理科二股,戴佳男,路燈增設,北門區,照明不足,路燈增設,108/10/09,玉港里,經度:120.136861874764 緯度:23.2572017963881X_97坐標:161683.972893054 Y_97坐標:2573026.9813934
74,1081000090,2019/10/09 13:56:07,指定主管簽核,PC,公園管理科二股,李玟璇,草花整理割草,新市區,灌木及草花,草花整理割草,,新市區,經度:120.300539420524 緯度:23.0828710792059X_97坐標:178339.312907701 Y_97坐標:2553631.22966805
75,1081000088,2019/10/09 12:04:07,傳送派工單給包商,PC,養護工程科一股,陳明照,其他正常,學甲區,其他,其他正常,,華宗橋,經度:120.17412247307 緯度:23.2257316999974X_97坐標:165476.826914488 Y_97坐標:2569519.6561297
76,1081000087,2019/10/09 10:26:00,傳送派工單給包商,PC,公園管理科二股,林港竣,植栽等其他妨礙行車安全狀況半車道,後壁區,路面狀況,植栽等其他妨礙行車安全狀況半車道,,後壁區南85,經度:120.329697541247 緯度:23.3631221504387X_97坐標:181469.872161937 Y_97坐標:2584652.60281494
77,1081000086,2019/10/09 09:28:06,指定主管簽核,PC,第一工務大隊,黃富美,路面掏空,安平區,鋪面,路面掏空,,安平區,經度:120.150239688055 緯度:22.9955184594878X_97坐標:162884.035428838 Y_97坐標:2544039.25478876
78,1081000085,2019/10/09 09:26:38,指定主管簽核,PC,第一工務大隊,黃富美,路面掏空,安平區,鋪面,路面掏空,,安平區,經度:120.175336536369 緯度:22.9935642729346X_97坐標:165455.829590212 Y_97坐標:2543808.15770807
79,1081000084,2019/10/09 09:26:26,完工登錄(至承辦),PC,第一工務大隊,陳昱勳,地磚損壞,南區,人行道設施,地磚損壞,,永成路二段69號人行道地磚凹陷等5件,經度:120.195475243105 緯度:22.9411636252938X_97坐標:167488.740581694 Y_97坐標:2537993.83593669
80,1081000083,2019/10/09 09:26:19,完工通報核准,PC,第一工務大隊,陳昱勳,路面掏空,南區,鋪面,路面掏空,,興南街252巷2號對面掏空等5件,經度:120.180860503034 緯度:22.9206543742557X_97坐標:165977.144852679 Y_97坐標:2535730.92253535
81,1081000082,2019/10/09 09:26:11,完工通報(至承辦),PC,第一工務大隊,陳昱勳,蓋版損壞,南區,排水設施,蓋版損壞,,濱南路與中華西路(7-11)前溝蓋破損等5件,經度:120.183979566957 緯度:22.9592216656069X_97坐標:166320.806695808 Y_97坐標:2540000.08499056
82,1081000081,2019/10/09 09:26:04,完工通報(至承辦),PC,第一工務大隊,陳昱勳,路面掏空,南區,鋪面,路面掏空,,興南街112號前路面掏空等5件,經度:120.182882535304 緯度:22.9227701158286X_97坐標:166185.865158504 Y_97坐標:2535964.06566101
83,1081000080,2019/10/09 09:25:57,已派工,PC,第一工務大隊,陳昱勳,其他排水路受阻,南區,排水設施,其他排水路受阻,,永成路二段1060巷口旁增設1處陰井及4處洩水孔,經度:120.19557781684 緯度:22.9619272778568X_97坐標:167511.850457081 Y_97坐標:2540293.14328293
84,1081000079,2019/10/08 14:08:03,傳送派工單給包商,PC,第三工務大隊,郭振東,機關駐點、綠帶、公共設施、垃圾清潔、澆水,歸仁區,每月例行性,機關駐點、綠帶、公共設施、垃圾清潔、澆水,市道177等線,新化區,經度:120.262747977713 緯度:22.9991853686149X_97坐標:174420.709186369 Y_97坐標:2544382.91516998
85,1081000078,2019/10/08 10:53:51,指定主管簽核,PC,公園管理科二股,李?民,機關駐點、綠帶、公共設施、垃圾清潔、澆水,永康區,每月例行性,機關駐點、綠帶、公共設施、垃圾清潔、澆水,108/10/8,永康公園,經度:120.242716558612 緯度:23.0031252285332X_97坐標:172369.362436898 Y_97坐標:2544829.67960324
86,1081000077,2019/10/08 10:22:03,指定主管簽核,PC,第一工務大隊,黃福彬,遊具設施損壞,安南區,設施,遊具設施損壞,,安西公園等公園,經度:120.208924760055 緯度:23.0316623562513X_97坐標:168922.21 Y_97坐標:2548008.19
87,1081000076,2019/10/08 09:34:30,結案,PC,第一工務大隊,陳昱勳,緣石新設,南區,其它設施,緣石新設,,南區永成路一段初護欄損壞,經度:120.195487009852 緯度:22.9326183811053X_97坐標:167484.768776677 Y_97坐標:2537047.53149308
88,1081000074,2019/10/07 16:51:19,完工通報核准,PC,公園管理科二股,戴佳男,路燈維修,新營區,照明異常,路燈維修,108/10/07,南興里,經度:120.303547979557 緯度:23.3006351745163X_97坐標:178762.998572683 Y_97坐標:2577745.23791583
89,1081000073,2019/10/07 16:51:11,完工通報核准,PC,公園管理科二股,戴佳男,路燈維修,新營區,照明異常,路燈維修,108/10/07,忠政里,經度:120.312723468302 緯度:23.3172900130878X_97坐標:179710.304600363 Y_97坐標:2579585.157949
90,1081000072,2019/10/07 16:51:03,完工通報核准,PC,公園管理科二股,戴佳男,路燈維修,鹽水區,照明異常,路燈維修,108/10/07,竹埔里,經度:120.240983714001 緯度:23.2664091863965X_97坐標:172343.480697822 Y_97坐標:2573987.08164783
91,1081000071,2019/10/07 16:50:55,完工通報核准,PC,公園管理科二股,戴佳男,路燈維修,後壁區,照明異常,路燈維修,108/10/07,上茄苳里,經度:120.381025188245 緯度:23.3825249742639X_97坐標:186726.843586206 Y_97坐標:2586777.90776401
92,1081000070,2019/10/07 16:50:45,完工通報核准,PC,公園管理科二股,戴佳男,路燈維修,白河區,照明異常,路燈維修,108/1/07,六溪里,經度:120.460767798941 緯度:23.3095822718301X_97坐標:194848.382639322 Y_97坐標:2578667.44683436
93,1081000069,2019/10/07 16:50:34,完工通報核准,PC,公園管理科二股,戴佳男,路燈維修,白河區,照明異常,路燈維修,108/10/07,白河里,經度:120.417833712834 緯度:23.3455026909157X_97坐標:190473.073717608 Y_97坐標:2582662.33268736
94,1081000068,2019/10/07 16:50:14,完工通報核准,PC,公園管理科二股,戴佳男,路燈維修,六甲區,照明異常,路燈維修,108/10/07,甲南里,經度:120.15455892554 緯度:23.2284013478682X_97坐標:163476.247178439 Y_97坐標:2569826.82231156
95,1081000067,2019/10/07 16:49:53,完工通報核准,PC,公園管理科二股,戴佳男,路燈維修,鹽水區,照明異常,路燈維修,108/10/07,汫水里,經度:120.27105355629 緯度:23.3442508660912X_97坐標:175463.497456047 Y_97坐標:2582591.75438724
96,1081000062,2019/10/06 17:25:43,傳送派工單給包商,PC,養護工程科一股,陳明照,損毀,北區,護欄,損毀,,民德陸橋,經度:120.205601942873 緯度:23.0055143363326X_97坐標:168565.937325446 Y_97坐標:2545114.3853667
97,1081000061,2019/10/05 20:17:37,結案,PC,養護工程科一股,陳明照,梁構件混擬土剝落,北區,其他,梁構件混擬土剝落,,民德陸橋,經度:120.205580736603 緯度:23.0056097989479X_97坐標:168563.820654546 Y_97坐標:2545124.9687212
98,1081000060,2019/10/05 14:33:45,包商回覆預定數量(for監造),PC,公園管理科二股,林港竣,鋪面整修,鹽水區,步道,鋪面整修,108.10.05,月津港公園景觀橋,經度:120.268400375597 緯度:23.3180918350351X_97坐標:175177.54257558 Y_97坐標:2579696.17347326
