,觀測時間(day),測站氣壓(hPa),海平面氣壓(hPa),測站最高氣壓(hPa),測站最高氣壓時間(LST),測站最低氣壓(hPa),測站最低氣壓時間(LST),氣溫(℃),最高氣溫(℃),最高氣溫時間(LST),最低氣溫(℃),最低氣溫時間(LST),露點溫度(℃),相對溼度(%),最小相對溼度(%),最小相對溼度時間(LST),風速(m/s),風向(360degree),最大陣風(m/s),最大陣風風向(360degree),最大陣風風速時間(LST),降水量(mm),降水時數(hour),最大十分鐘降水量(mm),最大十分鐘降水量起始時間(LST),最大六十分鐘降水量(mm),最大六十分鐘降水量起始時間(LST),日照時數(hour),日照率(%),全天空日射量(MJ/㎡),能見度(km),A型蒸發量(mm),日最高紫外線指數,日最高紫外線指數時間(LST),總雲量(0~10)
10,20100111,1013.0,1016.2,1015.0,2010-01-11 10:08,1010.8,2010-01-11 15:08,18.1,23.8,2010-01-11 13:43,14.9,2010-01-11 06:21,12.6,71,51,2010-01-11 13:43,4.5,20,10.9,20,2010-01-11 17:50,0.0,0.0,0.0,...,0.0,...,8.3,77.0,13.95,3.8,...,5,2010-01-11 13:00,3.6
11,20100112,1016.7,1019.9,1019.8,2010-01-12 23:42,1013.7,2010-01-12 02:14,13.6,17.2,2010-01-12 13:00,9.7,2010-01-12 23:56,8.4,71,57,2010-01-12 12:59,6.9,10,17.5,20,2010-01-12 09:54,T,0.2,T,2010-01-12 02:17,T,2010-01-12 02:17,5.3,49.1,11.53,6.0,...,5,2010-01-12 13:00,5.1
12,20100113,1021.7,1025.0,1024.2,2010-01-13 21:50,1019.5,2010-01-13 00:21,13.5,20.3,2010-01-13 13:55,9.1,2010-01-13 03:21,2.4,48,33,2010-01-13 14:39,4.3,20,10.1,60,2010-01-13 16:52,0.0,0.0,0.0,...,0.0,...,8.8,81.5,13.27,8.6,...,4,2010-01-13 13:00,0.3
13,20100114,1023.0,1026.3,1025.1,2010-01-14 09:17,1020.8,2010-01-14 14:20,14.8,19.7,2010-01-14 11:08,9.5,2010-01-14 06:35,6.3,57,45,2010-01-14 12:05,2.6,80,7.4,40,2010-01-14 03:41,0.0,0.0,0.0,...,0.0,...,9.1,84.2,13.29,6.3,...,4,2010-01-14 13:00,0.0
14,20100115,1022.1,1025.4,1024.3,2010-01-15 08:56,1020.2,2010-01-15 14:58,16.2,21.8,2010-01-15 13:44,12.3,2010-01-15 06:48,10.0,68,47,2010-01-15 13:44,2.5,60,8.7,350,2010-01-15 16:42,0.0,0.0,0.0,...,0.0,...,8.9,82.2,12.62,4.8,...,4,2010-01-15 13:00,0.0
15,20100116,1021.4,1024.6,1023.1,2010-01-16 09:51,1019.3,2010-01-16 15:03,17.2,23.1,2010-01-16 13:50,13.5,2010-01-16 06:08,11.5,70,45,2010-01-16 13:47,3.2,90,9.0,330,2010-01-16 15:10,0.0,0.0,0.0,...,0.0,...,9.3,85.9,13.39,4.1,...,4,2010-01-16 12:00,0.5
16,20100117,1020.9,1024.1,1022.7,2010-01-17 08:35,1018.8,2010-01-17 14:17,17.9,24.3,2010-01-17 14:20,13.6,2010-01-17 06:23,12.8,73,50,2010-01-17 13:29,2.6,60,7.3,330,2010-01-17 15:11,0.0,0.0,0.0,...,0.0,...,8.9,82.1,13.33,3.1,...,4,2010-01-17 13:00,0.3
17,20100118,1019.9,1023.1,1022.0,2010-01-18 09:27,1017.7,2010-01-18 15:38,18.4,24.0,2010-01-18 13:16,15.3,2010-01-18 02:12,13.7,75,56,2010-01-18 13:05,3.2,70,9.5,40,2010-01-18 19:29,0.0,0.0,0.0,...,0.0,...,9.2,84.7,13.77,4.2,...,4,2010-01-18 13:00,1.1
18,20100119,1018.0,1021.2,1020.2,2010-01-19 08:54,1015.7,2010-01-19 14:51,19.8,26.0,2010-01-19 13:25,16.3,2010-01-19 05:56,14.7,73,48,2010-01-19 13:25,2.8,60,9.2,350,2010-01-19 13:43,0.0,0.0,0.0,...,0.0,...,7.6,69.9,13.48,4.3,...,5,2010-01-19 13:00,4.1
19,20100120,1017.5,1020.6,1019.8,2010-01-20 09:31,1015.7,2010-01-20 15:03,22.3,27.7,2010-01-20 13:50,17.7,2010-01-20 06:29,14.5,63,40,2010-01-20 13:38,1.5,340,6.7,310,2010-01-20 16:41,0.0,0.0,0.0,...,0.0,...,8.2,75.4,13.73,3.5,...,5,2010-01-20 13:00,1.9
20,20100121,1016.3,1019.4,1018.0,2010-01-21 22:18,1014.5,2010-01-21 12:57,22.8,28.2,2010-01-21 12:04,18.6,2010-01-21 23:54,15.4,64,46,2010-01-21 15:20,2.9,30,9.2,20,2010-01-21 19:09,0.0,0.0,0.0,...,0.0,...,6.0,55.1,11.35,4.1,...,5,2010-01-21 13:00,4.9
21,20100122,1018.3,1021.5,1019.8,2010-01-22 09:07,1016.8,2010-01-22 15:15,18.9,24.3,2010-01-22 12:24,16.2,2010-01-22 23:09,13.5,71,58,2010-01-22 12:23,4.5,40,11.3,60,2010-01-22 14:31,0.0,0.0,0.0,...,0.0,...,5.3,48.6,11.61,7.8,...,5,2010-01-22 13:00,6.5
22,20100123,1018.6,1021.8,1020.0,2010-01-23 09:28,1017.0,2010-01-23 14:28,17.9,22.3,2010-01-23 13:43,15.3,2010-01-23 06:13,12.4,71,59,2010-01-23 13:42,4.3,40,9.4,30,2010-01-23 18:37,0.0,0.0,0.0,...,0.0,...,5.6,51.3,12.20,5.5,...,5,2010-01-23 13:00,5.1
23,20100124,1017.2,1020.4,1019.3,2010-01-24 09:13,1014.8,2010-01-24 14:36,19.6,25.6,2010-01-24 13:46,16.1,2010-01-24 06:11,14.5,73,56,2010-01-24 13:10,3.9,50,9.0,330,2010-01-24 14:17,0.0,0.0,0.0,...,0.0,...,8.1,74.1,13.69,4.7,...,5,2010-01-24 12:00,3.9
24,20100125,1017.4,1020.6,1019.2,2010-01-25 09:35,1015.8,2010-01-25 02:09,19.2,24.6,2010-01-25 12:49,15.2,2010-01-25 23:36,15.0,77,62,2010-01-25 12:22,4.8,40,14.4,50,2010-01-25 13:39,0.0,0.0,0.0,...,0.0,...,1.0,9.1,8.88,2.6,...,5,2010-01-25 12:00,9.3
25,20100126,1019.1,1022.3,1022.2,2010-01-26 09:40,1017.2,2010-01-26 03:45,17.1,21.7,2010-01-26 14:05,14.5,2010-01-26 06:46,12.1,73,64,2010-01-26 14:49,3.6,50,11.5,30,2010-01-26 05:53,0.0,0.0,0.0,...,0.0,...,0.2,1.8,7.75,3.9,...,4,2010-01-26 12:00,7.5
26,20100127,1016.6,1019.8,1019.3,2010-01-27 00:01,1013.7,2010-01-27 15:01,19.8,25.6,2010-01-27 14:51,16.1,2010-01-27 06:11,14.8,73,52,2010-01-27 15:35,2.8,60,8.3,50,2010-01-27 10:05,0.0,0.0,0.0,...,0.0,...,8.1,73.8,14.59,4.4,...,6,2010-01-27 13:00,1.6
27,20100128,1014.3,1017.4,1015.5,2010-01-28 08:31,1012.0,2010-01-28 14:28,21.4,27.2,2010-01-28 13:17,18.1,2010-01-28 04:25,16.3,73,57,2010-01-28 11:44,3.5,60,11.1,360,2010-01-28 17:36,0.0,0.0,0.0,...,0.0,...,2.5,22.7,10.22,3.7,...,5,2010-01-28 13:00,4.5
28,20100129,1015.4,1018.6,1018.2,2010-01-29 09:34,1013.5,2010-01-29 14:28,20.5,26.6,2010-01-29 14:08,17.9,2010-01-29 23:48,16.2,77,58,2010-01-29 15:35,3.6,60,9.9,80,2010-01-29 02:39,0.0,0.0,0.0,...,0.0,...,6.0,54.5,12.00,2.5,...,5,2010-01-29 13:00,4.1
29,20100130,1015.2,1018.4,1017.5,2010-01-30 08:56,1012.8,2010-01-30 15:51,21.0,26.2,2010-01-30 14:45,17.5,2010-01-30 01:27,15.9,74,56,2010-01-30 15:33,2.7,60,7.8,40,2010-01-30 13:18,0.0,0.0,0.0,...,0.0,...,7.3,66.2,13.49,2.8,...,5,2010-01-30 13:00,3.9
30,20100131,1013.7,1016.8,1015.5,2010-01-31 08:54,1012.0,2010-01-31 23:41,23.2,27.9,2010-01-31 11:45,19.2,2010-01-31 04:41,17.4,70,50,2010-01-31 13:17,1.6,240,7.8,240,2010-01-31 12:17,0.0,0.0,0.0,...,0.0,...,9.8,88.7,15.65,5.2,...,6,2010-01-31 13:00,2.3
31,20100201,1012.0,1015.2,1013.3,2010-02-01 09:38,1010.0,2010-02-01 13:56,23.1,27.9,2010-02-01 11:15,20.4,2010-02-01 21:51,17.5,71,52,2010-02-01 11:15,3.2,60,9.7,350,2010-02-01 14:02,0.0,0.0,0.0,...,0.0,...,8.7,78.7,15.43,4.6,...,6,2010-02-01 13:00,5.8
32,20100202,1013.1,1016.2,1014.3,2010-02-02 09:05,1011.5,2010-02-02 13:50,20.9,25.6,2010-02-02 13:39,17.7,2010-02-02 23:51,15.9,74,60,2010-02-02 11:55,3.3,60,11.1,40,2010-02-02 16:01,0.0,0.0,0.0,...,0.0,...,6.4,57.8,13.34,3.4,...,5,2010-02-02 12:00,2.8
33,20100203,1014.2,1017.3,1016.0,2010-02-03 21:47,1012.3,2010-02-03 13:40,19.5,24.0,2010-02-03 12:45,16.8,2010-02-03 07:02,14.7,74,59,2010-02-03 12:45,5.4,60,12.9,80,2010-02-03 07:25,0.0,0.0,0.0,...,0.0,...,7.9,71.2,14.83,5.4,...,6,2010-02-03 13:00,4.9
34,20100204,1014.7,1017.8,1016.0,2010-02-04 08:17,1012.8,2010-02-04 14:36,19.8,24.7,2010-02-04 12:31,17.2,2010-02-04 06:29,14.7,73,58,2010-02-04 12:30,4.7,50,13.4,70,2010-02-04 06:14,0.0,0.0,0.0,...,0.0,...,8.6,77.4,14.87,6.8,...,6,2010-02-04 13:00,3.8
35,20100205,1014.8,1018.0,1016.8,2010-02-05 09:44,1013.3,2010-02-05 14:30,19.6,24.0,2010-02-05 12:19,16.8,2010-02-05 05:19,14.6,73,61,2010-02-05 11:43,4.5,50,11.2,40,2010-02-05 14:55,0.0,0.0,0.0,...,0.0,...,6.5,58.4,13.35,4.5,...,5,2010-02-05 13:00,4.9
36,20100206,1014.7,1017.9,1016.5,2010-02-06 21:08,1013.0,2010-02-06 04:53,19.7,24.5,2010-02-06 13:29,17.4,2010-02-06 05:01,15.3,76,63,2010-02-06 13:29,4.1,60,12.7,30,2010-02-06 15:05,0.0,0.0,0.0,...,0.0,...,3.0,26.9,9.49,4.4,...,4,2010-02-06 13:00,6.0
37,20100207,1014.5,1017.7,1016.2,2010-02-07 05:59,1012.8,2010-02-07 15:36,21.3,26.2,2010-02-07 10:45,17.8,2010-02-07 03:39,16.1,73,56,2010-02-07 10:36,4.1,30,11.9,80,2010-02-07 06:08,0.0,0.0,0.0,...,0.0,...,5.8,51.9,13.92,4.8,...,6,2010-02-07 13:00,7.4
38,20100208,1013.8,1016.9,1016.2,2010-02-08 10:10,1012.0,2010-02-08 15:02,22.0,27.0,2010-02-08 12:28,19.4,2010-02-08 03:26,16.9,73,58,2010-02-08 12:28,1.9,50,7.5,60,2010-02-08 05:18,0.0,0.0,0.0,...,0.0,...,3.4,30.4,10.08,4.4,...,5,2010-02-08 13:00,5.1
39,20100209,1013.5,1016.6,1016.0,2010-02-09 09:55,1011.5,2010-02-09 15:41,22.9,27.9,2010-02-09 12:32,18.9,2010-02-09 08:04,18.5,77,63,2010-02-09 12:31,2.2,230,7.6,220,2010-02-09 14:26,0.0,0.0,0.0,...,0.0,...,6.9,61.6,13.88,3.9,...,6,2010-02-09 13:00,5.4
40,20100210,1012.4,1015.5,1014.3,2010-02-10 09:21,1010.5,2010-02-10 14:27,25.4,30.2,2010-02-10 10:29,22.1,2010-02-10 05:58,20.0,72,49,2010-02-10 10:11,3.5,230,10.0,230,2010-02-10 15:57,0.0,0.0,0.0,...,0.0,...,10.2,90.9,16.25,10.1,...,6,2010-02-10 13:00,1.5
41,20100211,1013.3,1016.4,1014.5,2010-02-11 08:32,1012.0,2010-02-11 04:36,26.2,30.5,2010-02-11 13:58,23.2,2010-02-11 05:33,20.1,70,52,2010-02-11 15:17,2.4,210,7.4,210,2010-02-11 13:24,0.0,0.0,0.0,...,0.0,...,10.6,94.3,16.51,12.3,...,7,2010-02-11 13:00,1.1
42,20100212,1016.1,1019.3,1018.6,2010-02-12 21:58,1013.2,2010-02-12 03:35,18.4,24.6,2010-02-12 03:38,13.2,2010-02-12 22:06,14.1,76,66,2010-02-12 13:37,4.4,50,11.3,40,2010-02-12 17:16,11.0,2.8,5.0,2010-02-12 21:29,6.0,2010-02-12 21:03,0.7,6.2,6.11,7.1,...,2,2010-02-12 12:00,8.9
43,20100213,1016.8,1020.0,1019.3,2010-02-13 09:14,1014.8,2010-02-13 18:49,15.5,19.5,2010-02-13 15:40,12.9,2010-02-13 05:47,11.0,75,65,2010-02-13 14:26,4.0,70,9.3,90,2010-02-13 16:34,0.0,0.0,0.0,...,0.0,...,1.3,11.5,8.62,5.5,...,3,2010-02-13 13:00,8.8
44,20100214,1012.5,1015.7,1015.0,2010-02-14 00:05,1010.0,2010-02-14 16:14,19.5,25.4,2010-02-14 13:47,15.6,2010-02-14 00:52,14.2,72,57,2010-02-14 13:47,3.6,80,9.3,50,2010-02-14 20:14,0.0,0.0,0.0,...,0.0,...,7.1,62.8,14.19,5.0,...,6,2010-02-14 13:00,3.6
45,20100215,1013.7,1016.9,1016.2,2010-02-15 22:01,1012.0,2010-02-15 14:53,19.3,26.0,2010-02-15 12:47,15.8,2010-02-15 23:55,13.8,71,53,2010-02-15 12:47,4.7,70,12.8,70,2010-02-15 03:18,1.5,1.7,1.0,2010-02-15 21:25,1.5,2010-02-15 21:19,8.0,70.7,15.63,7.0,...,6,2010-02-15 13:00,5.8
46,20100216,1016.4,1019.7,1018.2,2010-02-16 09:29,1015.2,2010-02-16 14:12,14.1,15.9,2010-02-16 00:01,13.1,2010-02-16 10:45,10.7,80,73,2010-02-16 08:44,4.9,70,12.8,80,2010-02-16 04:53,2.0,3.5,0.5,2010-02-16 10:50,1.0,2010-02-16 11:29,0.0,0.0,1.81,8.5,...,1,2010-02-16 13:00,9.3
47,20100217,1016.5,1019.8,1018.3,2010-02-17 23:31,1014.2,2010-02-17 15:45,13.9,16.2,2010-02-17 14:00,12.3,2010-02-17 23:58,10.4,79,74,2010-02-17 15:57,5.4,70,15.2,70,2010-02-17 19:23,1.5,2.1,0.5,2010-02-17 23:30,1.5,2010-02-17 23:30,0.0,0.0,4.17,8.8,...,3,2010-02-17 14:00,8.5
48,20100218,1017.8,1021.1,1019.3,2010-02-18 09:43,1016.0,2010-02-18 15:13,12.7,15.1,2010-02-18 13:02,11.0,2010-02-18 23:32,9.1,79,71,2010-02-18 13:20,5.0,70,12.8,90,2010-02-18 00:20,2.0,5.9,1.0,2010-02-18 01:58,1.5,2010-02-18 00:48,0.0,0.0,2.76,7.8,...,3,2010-02-18 13:00,9.8
49,20100219,1017.1,1020.4,1019.0,2010-02-19 10:01,1014.9,2010-02-19 15:37,11.8,12.9,2010-02-19 15:40,10.6,2010-02-19 04:47,9.8,87,83,2010-02-19 05:22,4.0,80,11.6,30,2010-02-19 04:22,14.0,12.2,1.0,2010-02-19 04:40,3.0,2010-02-19 10:05,0.0,0.0,0.82,3.3,...,1,2010-02-19 13:00,9.8
50,20100220,1015.6,1018.8,1017.3,2010-02-20 09:20,1014.0,2010-02-20 14:07,16.1,21.5,2010-02-20 13:24,11.8,2010-02-20 04:15,11.3,74,59,2010-02-20 12:30,3.3,90,9.2,50,2010-02-20 05:49,0.0,0.0,0.0,...,0.0,...,7.0,61.3,15.43,4.6,...,6,2010-02-20 12:00,6.6
51,20100221,1014.5,1017.7,1016.3,2010-02-21 08:23,1012.3,2010-02-21 15:43,18.2,23.7,2010-02-21 15:43,14.8,2010-02-21 03:10,13.2,73,53,2010-02-21 15:30,2.3,50,6.7,330,2010-02-21 15:53,0.0,0.0,0.0,...,0.0,...,3.0,26.2,11.40,3.9,...,4,2010-02-21 14:00,4.6
52,20100222,1012.7,1015.9,1014.3,2010-02-22 00:01,1011.5,2010-02-22 13:52,18.5,22.0,2010-02-22 12:49,15.4,2010-02-22 05:59,13.5,73,61,2010-02-22 14:08,3.6,40,9.9,90,2010-02-22 16:54,0.0,0.0,0.0,...,0.0,...,1.8,15.7,9.48,2.9,...,4,2010-02-22 13:00,4.6
53,20100223,1011.3,1014.5,1013.0,2010-02-23 08:14,1009.8,2010-02-23 14:44,20.3,26.8,2010-02-23 12:06,14.8,2010-02-23 06:16,14.1,69,47,2010-02-23 12:03,2.2,60,8.1,70,2010-02-23 08:59,0.0,0.0,0.0,...,0.0,...,10.4,90.6,17.25,5.6,...,6,2010-02-23 13:00,0.9
54,20100224,1009.7,1012.8,1011.2,2010-02-24 08:29,1007.4,2010-02-24 15:45,23.3,28.1,2010-02-24 13:19,18.2,2010-02-24 06:34,15.7,63,51,2010-02-24 10:10,3.6,210,13.6,240,2010-02-24 14:40,0.0,0.0,0.0,...,0.0,...,10.5,91.3,17.18,5.6,...,6,2010-02-24 13:00,1.6
55,20100225,1009.2,1012.3,1010.5,2010-02-25 10:06,1008.0,2010-02-25 15:27,25.4,29.0,2010-02-25 11:13,23.1,2010-02-25 00:01,18.8,67,50,2010-02-25 05:49,4.3,210,14.8,210,2010-02-25 11:06,0.0,0.0,0.0,...,0.0,...,5.3,46.0,12.24,9.6,...,4,2010-02-25 14:00,6.0
56,20100226,1009.3,1012.4,1010.8,2010-02-26 09:18,1007.5,2010-02-26 14:56,25.6,29.2,2010-02-26 12:22,23.2,2010-02-26 05:43,20.3,73,59,2010-02-26 12:52,2.7,240,9.3,230,2010-02-26 16:12,0.0,0.0,0.0,...,0.0,...,7.1,61.5,14.31,7.4,...,7,2010-02-26 13:00,5.8
57,20100227,1010.3,1013.4,1012.5,2010-02-27 22:50,1008.8,2010-02-27 14:54,25.5,28.6,2010-02-27 14:00,23.2,2010-02-27 05:55,20.8,75,64,2010-02-27 13:56,1.7,310,7.1,280,2010-02-27 14:58,0.0,0.0,0.0,...,0.0,...,5.6,48.4,14.13,10.8,...,5,2010-02-27 14:00,4.5
58,20100228,1012.6,1015.7,1014.3,2010-02-28 09:46,1010.8,2010-02-28 15:14,25.9,29.8,2010-02-28 13:01,23.5,2010-02-28 23:59,20.4,73,59,2010-02-28 14:53,1.9,330,7.3,330,2010-02-28 14:08,0.0,0.0,0.0,...,0.0,...,7.8,67.3,15.16,6.3,...,5,2010-02-28 13:00,3.6
59,20100301,1011.6,1014.7,1014.2,2010-03-01 09:09,1009.8,2010-03-01 14:42,25.6,30.1,2010-03-01 13:01,21.9,2010-03-01 04:53,19.7,70,53,2010-03-01 13:26,2.0,260,7.3,260,2010-03-01 14:29,0.0,0.0,0.0,...,0.0,...,10.2,87.9,17.12,7.8,...,7,2010-03-01 13:00,1.3
60,20100302,1010.6,1013.7,1012.3,2010-03-02 08:26,1008.8,2010-03-02 14:59,25.9,30.8,2010-03-02 12:14,23.1,2010-03-02 23:57,20.4,72,54,2010-03-02 12:13,2.0,10,7.9,330,2010-03-02 12:37,0.0,0.0,0.0,...,0.0,...,3.9,33.5,12.74,7.0,...,6,2010-03-02 12:00,5.5
61,20100303,1010.9,1014.0,1012.3,2010-03-03 08:28,1009.3,2010-03-03 14:42,24.6,29.0,2010-03-03 11:40,22.0,2010-03-03 02:40,18.5,69,57,2010-03-03 12:47,2.3,60,8.2,50,2010-03-03 01:05,0.0,0.0,0.0,...,0.0,...,5.5,47.2,14.74,5.8,...,6,2010-03-03 13:00,7.8
62,20100304,1010.2,1013.3,1011.8,2010-03-04 10:03,1008.3,2010-03-04 15:23,26.2,30.6,2010-03-04 12:25,22.5,2010-03-04 00:35,20.4,71,56,2010-03-04 11:02,2.7,220,11.1,220,2010-03-04 14:07,0.0,0.0,0.0,...,0.0,...,10.3,88.2,17.23,10.8,...,7,2010-03-04 13:00,3.3
63,20100305,1010.5,1013.6,1011.8,2010-03-05 09:29,1009.2,2010-03-05 15:12,26.1,29.3,2010-03-05 14:03,23.1,2010-03-05 06:38,20.9,73,59,2010-03-05 09:36,2.4,250,10.5,250,2010-03-05 14:52,0.0,0.0,0.0,...,0.0,...,8.8,75.2,17.16,11.4,...,6,2010-03-05 13:00,3.6
64,20100306,1011.6,1014.7,1013.2,2010-03-06 10:02,1010.0,2010-03-06 16:00,26.8,32.4,2010-03-06 12:45,23.5,2010-03-06 23:50,19.9,67,44,2010-03-06 12:44,1.8,270,6.9,90,2010-03-06 23:49,0.0,0.0,0.0,...,0.0,...,10.7,91.3,18.91,11.0,...,7,2010-03-06 13:00,2.1
65,20100307,1013.3,1016.4,1014.8,2010-03-07 22:45,1011.3,2010-03-07 14:25,23.1,28.8,2010-03-07 14:21,18.0,2010-03-07 23:44,16.5,67,52,2010-03-07 14:20,4.1,40,10.1,70,2010-03-07 02:32,0.0,0.0,0.0,...,0.0,...,9.1,77.5,16.88,5.0,...,6,2010-03-07 13:00,3.1
66,20100308,1013.8,1017.0,1015.5,2010-03-08 08:35,1011.3,2010-03-08 15:33,21.4,27.4,2010-03-08 12:13,17.0,2010-03-08 05:12,14.4,65,53,2010-03-08 11:02,4.0,70,9.4,10,2010-03-08 17:34,0.0,0.0,0.0,...,0.0,...,6.6,56.1,14.41,6.8,...,5,2010-03-08 12:00,4.9
67,20100309,1017.2,1020.4,1021.8,2010-03-09 23:49,1012.7,2010-03-09 03:42,15.9,20.0,2010-03-09 00:59,12.9,2010-03-09 20:28,9.7,67,57,2010-03-09 19:26,7.9,50,20.8,30,2010-03-09 18:53,0.3,0.5,0.3,2010-03-09 13:20,0.3,2010-03-09 13:10,0.2,1.7,6.11,9.8,...,3,2010-03-09 12:00,9.8
68,20100310,1021.6,1024.9,1023.2,2010-03-10 09:33,1020.0,2010-03-10 14:29,13.7,18.3,2010-03-10 14:12,11.2,2010-03-10 07:24,4.3,53,44,2010-03-10 13:47,5.9,60,20.4,80,2010-03-10 00:03,0.0,0.0,0.0,...,0.0,...,3.4,28.8,15.64,5.8,...,7,2010-03-10 13:00,5.6
69,20100311,1020.4,1023.7,1022.3,2010-03-11 09:00,1017.8,2010-03-11 15:17,16.9,23.3,2010-03-11 13:00,10.2,2010-03-11 03:53,8.5,58,43,2010-03-11 12:36,2.8,60,8.1,10,2010-03-11 16:24,0.0,0.0,0.0,...,0.0,...,9.6,81.1,17.72,6.0,...,6,2010-03-11 13:00,1.1
70,20100312,1017.3,1020.5,1020.2,2010-03-12 08:18,1014.5,2010-03-12 15:39,20.5,25.4,2010-03-12 15:11,15.9,2010-03-12 06:20,12.7,62,45,2010-03-12 13:53,1.9,90,6.6,170,2010-03-12 12:56,0.0,0.0,0.0,...,0.0,...,1.0,8.4,7.71,4.3,...,3,2010-03-12 11:00,5.4
71,20100313,1013.9,1017.1,1016.0,2010-03-13 08:20,1011.5,2010-03-13 15:06,24.3,29.1,2010-03-13 12:50,19.3,2010-03-13 05:06,17.0,64,52,2010-03-13 12:28,1.6,40,6.9,50,2010-03-13 04:28,0.0,0.0,0.0,...,0.0,...,6.9,58.1,14.80,3.5,...,5,2010-03-13 12:00,6.4
